Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
01/1990;0,2
02/1990;0,4
03/1990;0,8
04/1990;0,7
05/1990;0,8
06/1990;0,8
07/1990;0,9
08/1990;1,0
09/1990;1,1
10/1990;1,4
11/1990;1,7
12/1990;1,8
01/1991;2,1
02/1991;2,4
03/1991;2,5
04/1991;3,1
05/1991;3,6
06/1991;4,1
07/1991;4,6
08/1991;5,3
09/1991;5,6
10/1991;7,5
11/1991;9,2
12/1991;10,5
01/1992;13,1
02/1992;16,3
03/1992;19,6
04/1992;23,6
05/1992;30,1
06/1992;37,5
07/1992;46,1
08/1992;56,7
09/1992;70,8
10/1992;89,0
11/1992;110,4
12/1992;127,7
01/1993;164,0
02/1993;206,9
03/1993;294,6
04/1993;368,1
05/1993;481,6
06/1993;613,5
07/1993;841,4
08/1993;1.149,5
09/1993;1.578,4
10/1993;2.071,3
11/1993;2.792,8
12/1993;3.534,9
01/1994;4.562,8
02/1994;5.793,0
03/1994;8.520,4
04/1994;12.828,8
05/1994;20.504,2
06/1994;33.126,6
07/1994;40.788,0
08/1994;43.873,4
09/1994;43.836,2
10/1994;45.234,9
11/1994;45.926,2
12/1994;44.210,2
01/1995;47.028,6
02/1995;49.954,5
03/1995;60.024,3
04/1995;57.789,5
05/1995;56.350,5
06/1995;56.726,2
07/1995;58.788,1
08/1995;60.950,3
09/1995;60.610,8
10/1995;63.428,1
11/1995;67.762,9
12/1995;66.577,7
01/1996;64.133,3
02/1996;62.202,2
03/1996;62.987,8
04/1996;64.019,1
05/1996;69.488,7
06/1996;71.103,0
07/1996;74.969,9
08/1996;74.798,8
09/1996;71.744,6
10/1996;77.200,1
11/1996;80.449,1
12/1996;81.667,1
01/1997;77.582,6
02/1997;71.072,8
03/1997;70.461,6
04/1997;73.576,4
05/1997;78.110,8
06/1997;81.202,4
07/1997;82.058,7
08/1997;82.132,5
09/1997;81.987,3
10/1997;87.297,2
11/1997;85.390,1
12/1997;81.216,8
01/1998;79.363,9
02/1998;75.828,1
03/1998;80.508,7
04/1998;81.166,1
05/1998;85.207,5
06/1998;85.562,4
07/1998;86.938,5
08/1998;86.371,3
09/1998;84.733,5
10/1998;87.302,8
11/1998;86.316,5
12/1998;83.051,8
